,0,1,2,3,4
0,Sense and Sensibility, (1811),,,
1,Pride and Prejudice, (1813),,,
2,Mansfield Park, (1814),,,
3,Emma, (1815),,,
4,Northanger Abbey," (1818, posthumous)",,,
5,Persuasion," (1818, posthumous)",,,
6,Lady Susan," (1871, posthumous)",,,
7,The Watsons, (1804),,,
8,Sanditon, (1817),,,
9,Sir Charles Grandison, (,adapted," play) (1793, 1800)",[p]
10,Plan of a Novel, (1815),,,
11,Poems (1796?1817),,,,
12,Prayers (1796?1817),,,,
13,Letters (1796?1817),,,,
14,Frederic & Elfrida,,,,
15,Jack & Alice,,,,
16,Edgar & Emma,,,,
17,Henry and Eliza,,,,
18,The Adventures of Mr. Harley,,,,
19,Sir William Mountague,,,,
20,Memoirs of Mr. Clifford,,,,
21,The Beautifull Cassandra,,,,
22,Amelia Webster,,,,
23,The Visit,,,,
24,The Mystery,,,,
25,The Three Sisters,,,,
26,A beautiful description,,,,
27,The generous Curate,,,,
28,Ode to Pity,,,,
29,Love and Freindship,,,,
30,Lesley Castle,,,,
31,The History of England,,,,
32,A Collection of Letters,,,,
33,The female philosopher,,,,
34,The first Act of a Comedy,,,,
35,A Letter from a Young Lady,,,,
36,A Tour through Wales,,,,
37,A Tale,,,,
38,Evelyn,,,,
39,"Catherine, or The Bower",,,,
